User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion,Dominant_Emotion (Numerical)
1,25,Female,Instagram,120,3,45,10,12,Happiness,0
2,30,Male,Twitter,90,5,20,25,30,Anger,4
3,22,Non-binary,Facebook,60,2,15,5,20,Neutral,1
4,28,Female,Instagram,200,8,100,30,50,Anxiety,3
5,33,Male,LinkedIn,45,1,5,2,10,Boredom,2
6,21,Male,Instagram,150,4,60,15,25,Happiness,0
7,27,Female,Twitter,85,3,30,10,18,Anger,4
8,24,Non-binary,Facebook,110,6,25,12,22,Sadness,5
9,29,Female,LinkedIn,55,2,10,3,8,Neutral,1
10,31,Male,Instagram,170,5,80,20,35,Happiness,0
11,23,Female,Twitter,75,4,35,7,20,Anxiety,3
12,26,Non-binary,Facebook,95,3,20,10,18,Sadness,5
13,34,Male,LinkedIn,65,1,12,4,15,Boredom,2
14,22,Female,Instagram,180,7,90,25,40,Happiness,0
15,28,Male,Twitter,100,6,40,23,28,Anger,4
16,21,Non-binary,Facebook,40,1,5,2,10,Neutral,1
17,35,Female,Instagram,125,4,55,18,30,Anxiety,3
18,27,Male,Twitter,90,3,33,15,25,Sadness,5
19,23,Non-binary,LinkedIn,50,1,8,3,12,Neutral,1
20,32,Female,Instagram,140,5,70,22,33,Happiness,0
21,26,Male,Facebook,75,2,25,10,18,Anxiety,3
22,24,Female,Twitter,105,4,28,14,20,Anger,4
23,29,Male,LinkedIn,60,2,11,5,17,Boredom,2
24,33,Non-binary,Instagram,190,8,95,26,45,Happiness,0
25,22,Female,Twitter,70,3,20,12,15,Sadness,5
26,31,Male,Facebook,80,2,18,8,21,Neutral,1
27,27,Non-binary,LinkedIn,55,1,9,2,11,Anxiety,3
28,25,Female,Instagram,160,6,85,19,32,Happiness,0
29,30,Male,Twitter,90,4,38,17,24,Anger,4
30,26,Non-binary,Facebook,45,1,6,3,10,Sadness,5
31,34,Female,LinkedIn,65,2,13,4,14,Boredom,2
32,28,Male,Instagram,145,5,75,20,35,Happiness,0
33,23,Non-binary,Twitter,70,3,27,11,18,Neutral,1
34,21,Female,Instagram,130,6,88,15,30,Sadness,5
35,29,Male,Facebook,65,2,22,8,20,Anxiety,3
36,24,Non-binary,LinkedIn,55,1,10,5,11,Boredom,2
37,33,Female,Instagram,170,7,90,25,40,Happiness,0
38,27,Male,Twitter,85,4,35,15,20,Anger,4
39,22,Female,Instagram,115,3,55,12,25,Neutral,1
40,28,Non-binary,Facebook,100,2,18,10,22,Anxiety,3
41,31,Male,LinkedIn,45,1,6,2,9,Sadness,5
42,25,Female,Instagram,150,6,80,18,30,Happiness,0
43,29,Male,Twitter,95,4,40,20,22,Anger,4
44,23,Non-binary,Facebook,105,2,20,8,18,Neutral,1
45,35,Female,LinkedIn,60,1,12,5,14,Boredom,2
46,30,Male,Instagram,175,7,85,23,38,Happiness,0
47,21,Female,Twitter,90,3,33,12,20,Sadness,5
48,26,Non-binary,Facebook,75,2,28,11,18,Anxiety,3
49,32,Male,Instagram,130,5,70,19,31,Neutral,1
50,28,Female,LinkedIn,55,1,8,4,10,Boredom,2
51,27,Male,Instagram,165,6,78,22,27,Happiness,0
52,24,Female,Twitter,75,3,29,15,19,Anger,4
53,29,Non-binary,Facebook,85,2,25,7,20,Neutral,1
54,33,Female,Instagram,145,4,60,18,35,Sadness,5
55,31,Male,LinkedIn,60,1,10,3,17,Anxiety,3
56,22,Female,Whatsapp,70,2,40,8,21,Anxiety,3
57,25,Male,Telegram,90,3,20,10,22,Boredom,2
58,29,Non-binary,Snapchat,50,2,15,5,18,Sadness,5
59,28,Female,Twitter,95,4,45,20,25,Happiness,0
60,27,Male,Facebook,60,1,10,4,15,Boredom,2
61,30,Female,Instagram,175,6,70,23,33,Happiness,0
62,23,Male,Whatsapp,70,3,20,8,18,Anger,4
63,34,Non-binary,Telegram,80,2,18,7,20,Neutral,1
64,26,Female,Snapchat,120,4,50,15,30,Anxiety,3
65,25,Male,Twitter,90,6,40,12,26,Sadness,5
66,29,Non-binary,Facebook,60,1,8,2,12,Boredom,2
67,28,Male,Instagram,165,5,75,18,35,Happiness,0
68,31,Female,Whatsapp,65,2,25,8,20,Neutral,1
69,27,Male,Telegram,105,3,45,15,28,Anxiety,3
70,22,Non-binary,Snapchat,75,2,18,6,20,Sadness,5
71,24,Female,Instagram,140,4,60,18,30,Happiness,0
72,35,Male,Twitter,70,1,12,7,10,Boredom,2
73,21,Non-binary,Facebook,55,3,15,5,12,Neutral,1
74,29,Female,Whatsapp,90,2,20,9,22,Anger,4
75,25,Male,Telegram,80,4,28,11,25,Neutral,1
76,28,Non-binary,Snapchat,115,3,36,12,27,Anxiety,3
77,32,Female,Instagram,155,6,72,20,38,Happiness,0
78,26,Male,Twitter,75,2,22,10,18,Sadness,5
79,33,Non-binary,Facebook,65,1,12,5,14,Anxiety,3
80,27,Female,Whatsapp,90,4,35,14,20,Neutral,1
81,31,Male,Telegram,50,2,18,6,12,Sadness,5
82,24,Non-binary,Snapchat,85,3,30,13,18,Happiness,0
83,34,Female,Instagram,120,5,55,19,25,Anger,4
84,22,Male,Twitter,70,1,20,5,22,Neutral,1
85,29,Non-binary,Facebook,75,2,18,8,20,Boredom,2
86,28,Female,Whatsapp,100,4,35,12,26,Anxiety,3
87,31,Male,Telegram,85,3,40,15,28,Sadness,5
88,21,Non-binary,Snapchat,60,1,15,5,12,Neutral,1
89,25,Female,Instagram,170,6,78,22,33,Happiness,0
90,30,Male,Twitter,70,2,28,10,20,Anxiety,3
91,27,Non-binary,Facebook,50,1,8,2,10,Boredom,2
92,32,Female,Whatsapp,105,4,50,18,25,Anger,4
93,24,Male,Telegram,75,3,33,13,22,Neutral,1
94,29,Female,Snapchat,95,2,20,7,28,Sadness,5
95,26,Male,Instagram,150,5,65,20,30,Anxiety,3
96,33,Non-binary,Twitter,85,4,30,13,18,Boredom,2
97,22,Female,Facebook,70,1,12,5,10,Neutral,1
98,35,Male,Whatsapp,110,3,45,20,25,Happiness,0
99,28,Non-binary,Telegram,60,2,15,6,18,Anger,4
100,27,Female,Snapchat,120,4,38,13,22,Neutral,1
101,25,Female,Instagram,120,5,50,20,25,Happiness,0
102,30,Male,Twitter,90,4,30,20,22,Anger,4
103,22,Non-binary,Facebook,60,2,20,10,15,Neutral,1
104,28,Female,Instagram,200,8,110,40,45,Anxiety,3
105,33,Male,LinkedIn,45,1,10,5,12,Boredom,2
106,21,Male,Instagram,150,5,65,25,30,Happiness,0
107,27,Female,Twitter,85,3,40,18,20,Anger,4
108,24,Non-binary,Facebook,110,6,35,16,25,Sadness,5
109,29,Female,LinkedIn,55,2,15,5,10,Neutral,1
110,31,Male,Instagram,170,7,90,35,40,Happiness,0
111,23,Female,Twitter,75,4,45,20,25,Anxiety,3
112,26,Non-binary,Facebook,95,3,30,14,18,Sadness,5
113,34,Male,LinkedIn,65,1,14,6,15,Boredom,2
114,22,Female,Instagram,180,8,100,38,45,Happiness,0
115,28,Male,Twitter,100,6,50,30,29,Anger,4
116,21,Non-binary,Facebook,40,1,10,4,12,Neutral,1
117,35,Female,Instagram,125,5,65,22,28,Anxiety,3
118,27,Male,Twitter,90,3,40,16,24,Sadness,5
119,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral,1
120,32,Female,Instagram,140,6,75,28,30,Happiness,0
121,26,Male,Facebook,75,2,30,14,20,Anxiety,3
122,24,Female,Twitter,105,4,35,20,23,Anger,4
123,29,Male,LinkedIn,60,2,17,8,15,Boredom,2
124,33,Non-binary,Instagram,190,8,105,36,50,Happiness,0
125,22,Female,Twitter,70,3,25,16,15,Sadness,5
126,31,Male,Facebook,80,2,20,10,20,Neutral,1
127,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety,3
128,25,Female,Instagram,160,6,85,26,30,Happiness,0
129,30,Male,Twitter,90,4,43,19,24,Anger,4
130,26,Non-binary,Facebook,45,1,8,4,12,Sadness,5
131,34,Female,LinkedIn,65,2,17,5,14,Boredom,2
132,28,Male,Instagram,145,7,80,30,35,Happiness,0
133,23,Non-binary,Twitter,70,3,30,14,18,Neutral,1
134,21,Female,Instagram,130,6,95,22,28,Sadness,5
135,29,Male,Facebook,65,2,27,11,22,Anxiety,3
136,24,Non-binary,LinkedIn,55,1,11,6,11,Boredom,2
137,33,Female,Instagram,170,7,95,30,38,Happiness,0
138,27,Male,Twitter,85,4,45,18,24,Anger,4
139,22,Female,Instagram,115,3,60,17,30,Neutral,1
140,28,Non-binary,Facebook,100,2,22,12,25,Anxiety,3
141,31,Male,LinkedIn,45,1,9,4,10,Sadness,5
142,25,Female,Instagram,150,6,90,26,30,Happiness,0
143,29,Male,Twitter,95,4,50,22,22,Anger,4
144,23,Non-binary,Facebook,105,2,25,12,18,Neutral,1
145,35,Female,LinkedIn,60,1,15,7,14,Boredom,2
146,30,Male,Instagram,175,7,100,33,38,Happiness,0
147,21,Female,Twitter,90,3,37,14,20,Sadness,5
148,26,Non-binary,Facebook,75,2,30,12,18,Anxiety,3
149,32,Male,Instagram,130,5,80,28,31,Neutral,1
150,28,Female,LinkedIn,55,1,12,6,10,Boredom,2
151,27,Male,Instagram,165,6,85,30,28,Happiness,0
152,24,Female,Twitter,75,3,33,18,19,Anger,4
153,29,Non-binary,Facebook,85,2,27,9,20,Neutral,1
154,33,Female,Instagram,145,4,65,23,35,Sadness,5
155,31,Male,LinkedIn,60,1,15,7,17,Anxiety,3
156,22,Female,Whatsapp,70,2,42,10,21,Anxiety,3
157,25,Male,Telegram,90,3,22,11,22,Boredom,2
158,29,Non-binary,Snapchat,50,2,18,7,18,Sadness,5
159,28,Female,Twitter,95,4,48,22,25,Happiness,0
160,27,Male,Facebook,60,1,12,5,15,Boredom,2
161,30,Female,Instagram,175,6,72,30,33,Happiness,0
162,23,Male,Whatsapp,70,3,22,10,18,Anger,4
163,34,Non-binary,Telegram,80,2,21,8,20,Neutral,1
164,26,Female,Snapchat,120,4,55,18,30,Anxiety,3
165,25,Male,Twitter,90,6,42,14,26,Sadness,5
166,29,Non-binary,Facebook,60,1,12,4,12,Boredom,2
167,28,Male,Instagram,165,5,78,23,35,Happiness,0
168,31,Female,Whatsapp,65,2,27,10,20,Neutral,1
169,27,Male,Telegram,105,3,48,20,28,Anxiety,3
170,22,Non-binary,Snapchat,75,2,21,8,20,Sadness,5
171,24,Female,Instagram,140,4,65,22,30,Happiness,0
172,35,Male,Twitter,70,1,13,8,10,Boredom,2
173,21,Non-binary,Facebook,55,3,17,7,12,Neutral,1
174,29,Female,Whatsapp,90,2,24,12,22,Anger,4
175,25,Male,Telegram,80,4,30,13,25,Neutral,1
176,28,Non-binary,Snapchat,115,3,38,18,27,Anxiety,3
177,32,Female,Instagram,155,6,75,25,38,Happiness,0
178,26,Male,Twitter,75,2,23,12,18,Sadness,5
179,33,Non-binary,Facebook,65,1,13,7,14,Anxiety,3
180,27,Female,Whatsapp,90,4,37,18,20,Neutral,1
181,31,Male,Telegram,50,2,20,10,12,Sadness,5
182,24,Non-binary,Snapchat,85,3,33,20,18,Happiness,0
183,34,Female,Instagram,120,5,60,25,25,Anger,4
184,22,Male,Twitter,70,1,22,7,22,Neutral,1
185,29,Non-binary,Facebook,75,2,20,8,20,Boredom,2
186,28,Female,Whatsapp,100,4,37,14,26,Anxiety,3
187,31,Male,Telegram,85,3,45,20,28,Sadness,5
188,21,Non-binary,Snapchat,60,1,18,7,12,Neutral,1
189,25,Female,Instagram,170,6,83,30,33,Happiness,0
190,30,Male,Twitter,70,2,30,12,20,Anxiety,3
191,27,Non-binary,Facebook,50,1,10,4,10,Boredom,2
192,32,Female,Whatsapp,105,4,55,25,25,Anger,4
193,24,Male,Telegram,75,3,37,16,22,Neutral,1
194,29,Female,Snapchat,95,2,23,10,28,Sadness,5
195,26,Male,Instagram,150,5,70,25,30,Anxiety,3
196,33,Non-binary,Twitter,85,4,35,18,18,Boredom,2
197,22,Female,Facebook,70,1,14,6,10,Neutral,1
198,35,Male,Whatsapp,110,3,50,25,25,Happiness,0
199,28,Non-binary,Telegram,60,2,18,8,18,Anger,4
200,27,Female,Snapchat,120,4,40,18,22,Neutral,1
201,25,Female,Instagram,120,5,50,20,25,Happiness,0
202,30,Male,Twitter,90,4,30,20,22,Anger,4
203,22,Non-binary,Facebook,60,2,20,10,15,Neutral,1
204,28,Female,Instagram,200,8,110,40,45,Anxiety,3
205,33,Male,LinkedIn,45,1,10,5,12,Boredom,2
206,21,Male,Instagram,150,5,65,25,30,Happiness,0
207,27,Female,Twitter,85,3,40,18,20,Anger,4
208,24,Non-binary,Facebook,110,6,35,16,25,Sadness,5
209,29,Female,LinkedIn,55,2,15,5,10,Neutral,1
210,31,Male,Instagram,170,7,90,35,40,Happiness,0
211,23,Female,Twitter,75,4,45,20,25,Anxiety,3
212,26,Non-binary,Facebook,95,3,30,14,18,Sadness,5
213,34,Male,LinkedIn,65,1,14,6,15,Boredom,2
214,22,Female,Instagram,180,8,100,38,45,Happiness,0
215,28,Male,Twitter,100,6,50,30,29,Anger,4
216,21,Non-binary,Facebook,40,1,10,4,12,Neutral,1
217,35,Female,Instagram,125,5,65,22,28,Anxiety,3
218,27,Male,Twitter,90,3,40,16,24,Sadness,5
219,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral,1
220,32,Female,Instagram,140,6,75,28,30,Happiness,0
221,26,Male,Facebook,75,2,30,14,20,Anxiety,3
222,24,Female,Twitter,105,4,35,20,23,Anger,4
223,29,Male,LinkedIn,60,2,17,8,15,Boredom,2
224,33,Non-binary,Instagram,190,8,105,36,50,Happiness,0
225,22,Female,Twitter,70,3,25,16,15,Sadness,5
226,31,Male,Facebook,80,2,20,10,20,Neutral,1
227,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety,3
228,25,Female,Instagram,160,6,85,26,30,Happiness,0
229,30,Male,Twitter,90,4,43,19,24,Anger,4
230,26,Non-binary,Facebook,45,1,8,4,12,Sadness,5
231,34,Female,LinkedIn,65,2,17,5,14,Boredom,2
232,28,Male,Instagram,145,7,80,30,35,Happiness,0
233,23,Non-binary,Twitter,70,3,30,14,18,Neutral,1
234,21,Female,Instagram,130,6,95,22,28,Sadness,5
235,29,Male,Facebook,65,2,27,11,22,Anxiety,3
236,24,Non-binary,LinkedIn,55,1,11,6,11,Boredom,2
237,33,Female,Instagram,170,7,95,30,38,Happiness,0
238,27,Male,Twitter,85,4,45,18,24,Anger,4
239,22,Female,Instagram,115,3,60,17,30,Neutral,1
240,28,Non-binary,Facebook,100,2,22,12,25,Anxiety,3
241,31,Male,LinkedIn,45,1,9,4,10,Sadness,5
242,25,Female,Instagram,150,6,90,26,30,Happiness,0
243,29,Male,Twitter,95,4,50,22,22,Anger,4
244,23,Non-binary,Facebook,105,2,25,12,18,Neutral,1
245,35,Female,LinkedIn,60,1,15,7,14,Boredom,2
246,30,Male,Instagram,175,7,100,33,38,Happiness,0
247,21,Female,Twitter,90,3,37,14,20,Sadness,5
248,26,Non-binary,Facebook,75,2,30,12,18,Anxiety,3
249,32,Male,Instagram,130,5,80,28,31,Neutral,1
250,28,Female,LinkedIn,55,1,12,6,10,Boredom,2
251,Male,27,Instagram,165,6,85,30,28,Happiness,0
252,Female,24,Twitter,75,3,33,18,19,Anger,4
253,Non-binary,29,Facebook,85,2,27,9,20,Neutral,1
254,Female,33,Instagram,145,4,65,23,35,Sadness,5
255,Male,31,LinkedIn,60,1,15,7,17,Anxiety,3
256,Female,22,Whatsapp,70,2,42,10,21,Anxiety,3
257,Male,25,Telegram,90,3,22,11,22,Boredom,2
258,Non-binary,29,Snapchat,50,2,18,7,18,Sadness,5
259,Female,28,Twitter,95,4,48,22,25,Happiness,0
260,Male,27,Facebook,60,1,12,5,15,Boredom,2
261,Female,30,Instagram,175,6,72,30,33,Happiness,0
262,Male,23,Whatsapp,70,3,22,10,18,Anger,4
263,Non-binary,34,Telegram,80,2,21,8,20,Neutral,1
264,Female,26,Snapchat,120,4,55,18,30,Anxiety,3
265,Male,25,Twitter,90,6,42,14,26,Sadness,5
266,Non-binary,29,Facebook,60,1,12,4,12,Boredom,2
267,Male,28,Instagram,165,5,78,23,35,Happiness,0
268,Female,31,Whatsapp,65,2,27,10,20,Neutral,1
269,Male,27,Telegram,105,3,48,20,28,Anxiety,3
270,Non-binary,22,Snapchat,75,2,21,8,20,Sadness,5
271,Female,24,Instagram,140,4,65,22,30,Happiness,0
272,Male,35,Twitter,70,1,13,8,10,Boredom,2
273,Non-binary,21,Facebook,55,3,17,7,12,Neutral,1
274,Female,29,Whatsapp,90,2,24,12,22,Anger,4
275,Male,25,Telegram,80,4,30,13,25,Neutral,1
276,Non-binary,28,Snapchat,115,3,38,18,27,Anxiety,3
277,Female,32,Instagram,155,6,75,25,38,Happiness,0
278,Male,26,Twitter,75,2,23,12,18,Sadness,5
279,Non-binary,33,Facebook,65,1,13,7,14,Anxiety,3
280,Female,27,Whatsapp,90,4,37,18,20,Neutral,1
281,Male,31,Telegram,50,2,20,10,12,Sadness,5
282,Non-binary,24,Snapchat,85,3,33,20,18,Happiness,0
283,Female,34,Instagram,120,5,60,25,25,Anger,4
284,Male,22,Twitter,70,1,22,7,22,Neutral,1
285,Non-binary,29,Facebook,75,2,20,8,20,Boredom,2
286,Female,28,Whatsapp,100,4,37,14,26,Anxiety,3
287,Male,31,Telegram,85,3,45,20,28,Sadness,5
288,Non-binary,21,Snapchat,60,1,18,7,12,Neutral,1
289,25,Female,Instagram,170,6,83,30,33,Happiness,0
290,30,Male,Twitter,70,2,30,12,20,Anxiety,3
291,27,Non-binary,Facebook,50,1,10,4,10,Boredom,2
292,32,Female,Whatsapp,105,4,55,25,25,Anger,4
293,24,Male,Telegram,75,3,37,16,22,Neutral,1
294,29,Female,Snapchat,95,2,23,10,28,Sadness,5
295,26,Male,Instagram,150,5,70,25,30,Anxiety,3
296,33,Non-binary,Twitter,85,4,35,18,18,Boredom,2
297,22,Female,Facebook,70,1,14,6,10,Neutral,1
298,35,Male,Whatsapp,110,3,50,25,25,Happiness,0
299,28,Non-binary,Telegram,60,2,18,8,18,Anger,4
300,27,Female,Snapchat,120,4,40,18,22,Neutral,1
301,25,Female,Instagram,120,5,50,20,25,Happiness,0
302,30,Male,Twitter,90,4,30,20,22,Anger,4
303,22,Non-binary,Facebook,60,2,20,10,15,Neutral,1
304,28,Female,Instagram,200,8,110,40,45,Anxiety,3
305,33,Male,LinkedIn,45,1,10,5,12,Boredom,2
306,21,Male,Instagram,150,5,65,25,30,Happiness,0
307,27,Female,Twitter,85,3,40,18,20,Anger,4
308,24,Non-binary,Facebook,110,6,35,16,25,Sadness,5
309,29,Female,LinkedIn,55,2,15,5,10,Neutral,1
310,31,Male,Instagram,170,7,90,35,40,Happiness,0
311,23,Female,Twitter,75,4,45,20,25,Anxiety,3
312,26,Non-binary,Facebook,95,3,30,14,18,Sadness,5
313,34,Male,LinkedIn,65,1,14,6,15,Boredom,2
314,22,Female,Instagram,180,8,100,38,45,Happiness,0
315,28,Male,Twitter,100,6,50,30,29,Anger,4
316,21,Non-binary,Facebook,40,1,10,4,12,Neutral,1
317,35,Female,Instagram,125,5,65,22,28,Anxiety,3
318,27,Male,Twitter,90,3,40,16,24,Sadness,5
319,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral,1
320,32,Female,Instagram,140,6,75,28,30,Happiness,0
321,26,Male,Facebook,75,2,30,14,20,Anxiety,3
322,24,Female,Twitter,105,4,35,20,23,Anger,4
323,29,Male,LinkedIn,60,2,17,8,15,Boredom,2
324,33,Non-binary,Instagram,190,8,105,36,50,Happiness,0
325,22,Female,Twitter,70,3,25,16,15,Sadness,5
326,31,Male,Facebook,80,2,20,10,20,Neutral,1
327,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety,3
328,25,Female,Instagram,160,6,85,26,30,Happiness,0
329,30,Male,Twitter,90,4,43,19,24,Anger,4
330,26,Non-binary,Facebook,45,1,8,4,12,Sadness,5
331,34,Female,LinkedIn,65,2,17,5,14,Boredom,2
332,28,Male,Instagram,145,7,80,30,35,Happiness,0
